name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Dr. Reckeweg Rhus Tox Dilution 30 CH,Dr Reckeweg & Co,Rhus Toxicodendron,4.6,725,Brain
SBL Arnica Montana Hair Oil with Tjc,SBL Pvt Ltd,,4.4,579,Others
ADEL 39 Apo-Sciatica Drop,Adel Pekana Germany,,4.4,252,Others
Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Arnica Dilution,4.6,272,Throat
SBL Damiana Mother Tincture Q,SBL Pvt Ltd,Damiana Dilution,4.3,276,Head
Dr. Reckeweg R64 Albuminuria Drop,Dr Reckeweg & Co,Helonias dioica D3Kalium arsenicosum D4Phosphorus D6Plumbum metallicum D12Solidago virgaurea D2,4.6,121,Kidney
SBL Echinacea Angustifolia Mother Tincture Q,SBL Pvt Ltd,Echinacea Angustifolia,4.6,225,Heart
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,Antimonium Crudum 1xCalcarea Fluorica 1xThuja Occidentalis Ext. Q,3.9,191,Skin
SBL Lycopodium Clavatum Dilution 200 CH,SBL Pvt Ltd,Lycopodium Clavatum,4.5,879,Kidney
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,Cydonia Vulgaris,4.1,464,Others
Dr. Reckeweg R29 Vertigo And Syncope Drop,Dr Reckeweg & Co,Argentum nitricumCocculusConiumTheridion curassavicum,4.5,170,Eye
SBL Urtica Urens Mother Tincture Q,SBL Pvt Ltd,Urtica Urens,4.5,362,Nerves
Dr. Reckeweg R81 Analgesic Drop,Dr Reckeweg & Co,"Belladonna, BryoniaCoccus CactiCorallium RubrumCuprum AceticumDrosera RotundifoliaIpecacuanhaSpongiaSticta PulmonariaThymus Vulgaris",4.6,159,Intestine
SBL Thuja Ointment,SBL Pvt Ltd,"Thuja Occidentalis MT in ointment base (White Petrolatum, Paraffin and Lanoin)",4.2,344,Skin
Bakson's Homoeopathic Formula 'D' Tablet,Bakson's Homeopathy,Calcarea fluorica 3xCalcarea sulph. 3xKali sulph. 3xNatrum sulph. 3xArsenicum album 6xRhus tox. 3x,4.0,279,Others
SBL Aconitum Napellus Dilution 30 CH,SBL Pvt Ltd,Extract of the plant monkshoodEthanol,4.6,546,Others
Dr. Reckeweg R3 Heart Drop,Dr Reckeweg & Co,,4.6,219,Others
Allen A87 Creatinine & Blood Urea Drop,Allen Homoeo & Herbal Products Ltd,,4.7,141,Others
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,Acidum NitricumCalcarea FluoricaHamamelis Virginica,4.3,227,Others
SBL Euphrasia 10% Eye Drop,SBL Pvt Ltd,Euphrasia Officinalis QSodium methyl hydroxybenzoateIsotonic solution of sodium chloride,4.6,321,Eye
SBL Rhus Toxicodendron Dilution 30 CH,SBL Pvt Ltd,Rhus Toxicodendron,4.6,880,Brain
ADEL 12 Dercut Drop,Adel Pekana Germany,,4.4,152,Others
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Hydrastis canadensis,4.6,115,Eye
SBL Belladonna Dilution 200 CH,SBL Pvt Ltd,Belladonna,4.7,935,Intestine
SBL Ferrum Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,Ferrum PhosphoricumAlcohol,4.6,377,Others
Bakson's Homoeopathic Formula 'D' Tablet,Bakson's Homeopathy,Calcarea fluorica 3xCalcarea sulph. 3xKali sulph. 3xNatrum sulph. 3xArsenicum album 6xRhus tox. 3x,4.0,279,Others
Haslab Drox 20 Pilovarin Drop,HASLAB,Aesculus hip 3xCal Flour 3xLycopodium 3xNux Vom 3xPaeonia off 3xSulphur 3xVipera 6xBlumia Od 3xGraphites 3x,4.6,68,Skin
Dr. Reckeweg Aalserum 7X Mother Tincture Q,Dr Reckeweg & Co,Aalserum,4.6,243,Heart
Bakson's Pilgo Tablet,Bakson's Homeopathy,RatanhiaHamamelis virginicaAesculus hippocastanumAloe socotrina,4.4,247,Whole Body
Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,Dr Reckeweg & Co,Ferrum PhosphoricumKalium MuriaticumMagnesia PhosphoricaNatrum MuriaticumNatrum Sulphuricum,4.7,190,Throat
Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Extracts from the crataegus oxyacantha plant,4.6,272,Joints
SBL Ginkgo Biloba Mother Tincture Q,SBL Pvt Ltd,Ginkgo bilobaAlcohol,4.5,211,Skin
Dr. Reckeweg R95 Alfalfa Tonic,Dr Reckeweg & Co,"Acidum Phosphoricum D2 4,0G, Alfalfa 1,0G, Avena Sativa 5,0G, Calcium Phosphoricum D6 0,1 G, China =D1 0,5G, Hydrastis =D 1 0,5G Magnesium Phosphoricum D6 0,6 Nux Vomica D3 1,0G, Panax Ginseng.",4.7,155,Joints
Dr. Reckeweg Nux Vomica Dilution 200 CH,Dr Reckeweg & Co,Nux Vomica,4.6,742,Eye
